Model,Color,Memory,Storage,Rating,Selling Price,Original Price
A53,Moonlight Black,4 GB,64 GB,4.5,11990,15990
A53,Mint Cream,4 GB,64 GB,4.5,11990,15990
A53,Moonlight Black,6 GB,128 GB,4.3,13990,17990
A53,Mint Cream,6 GB,128 GB,4.3,13990,17990
A53,Electric Black,4 GB,64 GB,4.5,11990,15990
A53,Electric Black,6 GB,128 GB,4.3,13990,17990
A12,Deep Blue,4 GB,64 GB,4.4,10490,11990
A12,Black,3 GB,32 GB,4.4,9490,10990
A12,Blue,3 GB,32 GB,4.4,9490,10990
A12,Flowing Silver,3 GB,32 GB,4.4,9490,10990
A12,Deep Blue,3 GB,32 GB,4.4,9490,10990
A12,Flowing Silver,4 GB,64 GB,4.4,10490,11990
A53s 5G,Crystal Blue,6 GB,128 GB,4.3,15990,16990
A53s 5G,Ink Black,6 GB,128 GB,4.3,15990,16990
A12,Blue,4 GB,64 GB,4.4,10490,11990
A53s 5G,Crystal Blue,8 GB,128 GB,4.3,17990,18990
A53s 5G,Ink Black,8 GB,128 GB,4.3,17990,18990
A33,Moonlight Black,3 GB,32 GB,4.3,10490,12990
A31,Lake Green,4 GB,64 GB,4.3,11960,12990
A31,Mystery Black,4 GB,64 GB,4.3,11779,11919
A74 5G,Fantastic Purple,6 GB,128 GB,4.3,18979,
A54,Crystal Black,4 GB,64 GB,4.3,14990,
F17 Pro,Metallic White,8 GB,128 GB,4.3,19990,25990
A31,Fantasy White,4 GB,64 GB,4.3,12199,12319
F17,Navy Blue,8 GB,128 GB,4.3,21990,
A53,Fancy Blue,6 GB,128 GB,4.3,15999,
A16,Pearl Blue,4 GB,64 GB,0,13850,
A11K,Deep Blue,2 GB,32 GB,4.2,8990,10990
A54,Crystal Black,4 GB,128 GB,4.3,15990,
Reno5 Pro 5G,Astral Blue,8 GB,128 GB,4.4,35990,38990
A16,CRYSTAL BLACK,4 GB,64 GB,0,13990,15990
A15,Dynamic Black,3 GB,32 GB,4.3,10990,12990
F17,Dynamic Orange,6 GB,128 GB,4.2,16990,20990
A15,Mystery Blue,3 GB,32 GB,4.3,10990,12990
A53,Fairy White,4 GB,64 GB,4.5,13499,
A53,Fairy White,6 GB,128 GB,4.3,15999,
A74 5G BLACK,Fluid Black,6 GB,128 GB,4.3,18380,
Reno6 Pro 5G,Stellar Black,12 GB,256 GB,4.4,39990,46990
A54,Crystal Black,6 GB,128 GB,4.3,16990,17990
Reno2 F,Sky White,6 GB,256 GB,4.4,19990,
Reno2 F,Lake Green,6 GB,256 GB,4.4,19990,
Reno3 Pro,Midnight Black,8 GB,256 GB,4.4,26798,28989
F17,Navy Blue,6 GB,128 GB,4.2,16990,20990
A15s,Dynamic Black,4 GB,64 GB,4.3,12990,13990
A15S,Rainbow Silver,4 GB,64 GB,4.3,12990,13990
Reno3 Pro,Auroral Blue,8 GB,256 GB,4.4,27990,35990
F19 Pro,Crystal Silver,8 GB,128 GB,4.3,21990,23990
F19 Pro,Fantastic Purple,8 GB,256 GB,4.3,23490,25990
F19 Pro+ 5G,Space Silver,8 GB,128 GB,4.3,25990,29990
F19 Pro+ 5G,Fluid Black,8 GB,128 GB,4.3,25990,29990
A15S,Fancy White,4 GB,64 GB,4.3,12889,12989
F19 Pro,Fluid Black,8 GB,128 GB,4.3,21990,23990
F19 Pro,Crystal Silver,8 GB,256 GB,4.3,23490,25990
F19 Pro,Fluid Black,8 GB,256 GB,4.3,23490,25990
F19 Pro,Fantastic Purple,8 GB,128 GB,4.3,21990,23990
A53,Fancy Blue,4 GB,64 GB,4.5,13499,
Find X,Bordeaux Red,8 GB,256 GB,4.6,60990,
Reno4 Pro Special Edition,Galactic Blue,8 GB,128 GB,4.4,34990,37990
F11,Marble Green,6 GB,128 GB,4.4,17990,23990
A5,Diamond Blue,4 GB,64 GB,4.4,15990,
Reno4 Pro,Silky White,8 GB,128 GB,4.4,34990,37990
Reno4 Pro,Starry Night,8 GB,128 GB,4.4,34990,37990
F19,Space Silver,6 GB,128 GB,4.2,19990,20990
A12,Black,4 GB,64 GB,4.4,10990,
A9 2020,Space Purple,4 GB,128 GB,4.3,14990,18990
Reno2 F,Sky White,8 GB,128 GB,4.4,21990,28990
A5 2020,Dazzling White,3 GB,64 GB,4.4,12990,14990
F3 Deepika Padukone Limited Edition,Rose Gold,4 GB,64 GB,4.3,17000,
F1 Plus,Gold,4 GB,64 GB,4,27500,
K1,Piano Black,4 GB,64 GB,4.4,15000,
F3,Gold,4 GB,64 GB,4.3,18000,
A71,Black,3 GB,16 GB,4.2,12500,
A71,Gold,3 GB,16 GB,4.2,12500,
F15,Lightening Black,8 GB,128 GB,4.4,18990,22990
F15,Blazing Blue,8 GB,128 GB,4.4,18990,22990
A57,Gold,3 GB,32 GB,4.2,18000,
A31,Mystery Black,6 GB,128 GB,4.3,13799,
A31,Fantasy White,6 GB,128 GB,4.3,13899,
A9 2020,Marine Green,8 GB,128 GB,4.3,15990,21990
A9 2020,Vanilla Mint,4 GB,128 GB,4.3,14990,18990
Reno2 F,Lake Green,8 GB,128 GB,4.4,25889,
N5111,White,2 GB,16 GB,3.1,9990,
F9 Pro,Starry purple,6 GB,128 GB,4.5,21990,27990
